Offset(P)            #Ptr   #Hnd Access Name
0x000000003d8859f0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msdtc.exe
0x000000003d8865c0      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\wship6.dll.mui
0x000000003d886708      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003d886c08      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000003d886c08      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000003d887138      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SnippingTool.exe
0x000000003d887b78      9      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\radarrs.dll.mui
0x000000003d887c30      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\SmartcardCredentialProvider.dll
0x000000003d887d58      3      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d888038      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000003d888348      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\advapi32.dll.mui
0x000000003d888400      1      1 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\chrome_100_percent.pak
0x000000003d888908      1      1 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\chrome_100_percent.pak
0x000000003d88a7d0      1      1 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\Locales\en-US.pak
0x000000003d88a948      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\odbcint.dll
0x000000003d88ec28      8      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Firewall with Advanced Security.lnk
0x000000003d88f498      3      3 R--r-- \Device\HarddiskVolume2\Windows\Fonts\times.ttf
0x000000003d88f8c0      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\devobj.dll
0x000000003d88f9e0      2      1 R--rwd \Device\HarddiskVolume2\Users\IEUser\Desktop\CS
0x000000003d899150      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NaturalLanguage6.dll
0x000000003d899388      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\wshtcpip.dll.mui
0x000000003d8997d8     10      1 RW---- \Device\HarddiskVolume2\Windows\System32\7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0
0x000000003d89a3a0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d89ac60      1      0 R--rwd \Device\HarddiskVolume2\Users\IEUser\Searches\desktop.ini
0x000000003d89af40      1      1 R--rw- \Device\HarddiskVolume2\Program Files\Google\Update\1.3.31.5
0x000000003d89b8c0      1      1 R--rwd \Device\HarddiskVolume2\Windows\System32
0x000000003d89bbf8      9      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\oleaccrc.dll.mui
0x000000003d89d2b8      2      1 ------ \Device\NamedPipe\mojo.1616.2480.7650535026606930066
0x000000003d89d878      1      1 RW-rw- \Device\HarddiskVolume2\Users\IEUser\Desktop\CS\IE11WIN7-20161123-083224.raw
0x000000003d89f408      4      0 R--r-- \Device\HarddiskVolume2\Windows\System32\sppobjs.dll
0x000000003d89f508     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d8a9470      4      0 R--r-- \Device\HarddiskVolume2\Windows\System32\sppwinob.dll
0x000000003d8a96d8      1      1 R--r-- \Device\HarddiskVolume2\Windows\Registration\R00000000000c.clb
0x000000003d8a97f8      1      1 R--r-- \Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\AppData\Roaming\Microsoft\SoftwareProtectionPlatform\tokens.dat
0x000000003d8a9f80      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\crypt32.dll.mui
0x000000003d8aa380      9      0 RWD--- \Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\AppData\Roaming\Microsoft\SoftwareProtectionPlatform\tokens.dat
0x000000003d8aaf80      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msdtctm.dll
0x000000003d8ad178      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mtxoci.dll
0x000000003d8ad400      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msdtclog.dll
0x000000003d8adb30      9      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\msdtc.exe.mui
0x000000003d8ae6e0      1      1 R--r-- \Device\HarddiskVolume2\Windows\Registration\R00000000000c.clb
0x000000003d8b0038      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\spool\drivers\w32x86\3\en-US\PS5UI.DLL.mui
0x000000003d8b3148      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003d8b3d58      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\cfgmgr32.dll
0x000000003d8b4d20      7      0 R--rwd \Device\HarddiskVolume2\Windows\System32\sti_ci.dll
0x000000003d8b4f80      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\vmictimeprovider.dll
0x000000003d8ba8b0      1      0 R--rwd \Device\HarddiskVolume2\Users\IEUser\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\desktop.ini
0x000000003d8bad58      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\unregmp2.exe
0x000000003d8bb3f8      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Calculator.lnk
0x000000003d8bd038      8      0 R--rwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\Cache\f_000034
0x000000003d8bd4b8      9      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\msdtcVSp1res.dll.mui
0x000000003d8bde48      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchProtocolHost.exe
0x000000003d8be2c0     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d8bf4b0      3      1 R--rwd \Device\HarddiskVolume2\Windows\System32\wlms
0x000000003d8c1778      8      0 R--r-d \Device\HarddiskVolume2\Windows\AppPatch\drvmain.sdb
0x000000003d8c9218     17      1 RW-rw- \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\Login Data-journal
0x000000003d8c9668      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\werconcpl.dll
0x000000003d8c9ac8      2      2 R--r-- \Device\HarddiskVolume2\Windows\Fonts\tahomabd.ttf
0x000000003d8c9c60      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanutil.dll
0x000000003d8c9f80      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ntprint.dll
0x000000003d8cc140      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mscoree.dll
0x000000003d8cc900      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\NetProjW.dll.mui
0x000000003d8cd7b8      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\api-ms-win-downlevel-version-l1-1-0.dll
0x000000003d8cdad8      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d8cdb90      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanapi.dll
0x000000003d8ce210      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\catsrvps.dll
0x000000003d8ce308      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ieframe.dll
0x000000003d8ce400     10     10 R--rwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Subresource Filter\Indexed Rules\10\4\Ruleset Data
0x000000003d8d0210      2      1 ------ \Device\NamedPipe\mojo.1616.1792.16295165849124454834
0x000000003d8d0368      1      1 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\Locales\en-US.pak
0x000000003d8d0970      1      0 R----- \Device\HarddiskVolume2\Windows\Prefetch\CONHOST.EXE-1F3E9D7E.pf
0x000000003d8d62d8      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\wininet.dll
0x000000003d8d6f80      8      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\gulim.ttc
0x000000003d8d8810      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WWanAPI.dll
